"ProjectCode","SurveyAreaIdentifier","wyear","YearCollected","wmonth","MonthCollected","DayCollected","DecimalLatitude","DecimalLongitude","DurationInHours"
"BCCWS","GIDE-1",2012,2013,7,4,14,49.610195,-124.845947,3
"BCCWS","GIDE-1",2013,2013,2,11,12,49.610195,-124.845947,2
"BCCWS","GIDE-1",2013,2013,3,12,9,49.610195,-124.845947,3
"BCCWS","GIDE-1",2013,2014,4,1,12,49.610195,-124.845947,1.5
"BCCWS","GIDE-1",2013,2014,5,2,9,49.610195,-124.845947,3
"BCCWS","GIDE-1",2013,2014,7,4,15,49.610195,-124.845947,2
"BCCWS","GIDE-1",2014,2014,1,10,14,49.610195,-124.845947,0.666667
"BCCWS","GIDE-1",2014,2015,4,1,10,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2015,2015,1,10,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2015,2015,2,11,9,49.610195,-124.845947,2
"BCCWS","GIDE-1",2015,2015,3,12,16,49.610195,-124.845947,3
"BCCWS","GIDE-1",2015,2016,4,1,10,49.610195,-124.845947,2.75
"BCCWS","GIDE-1",2015,2016,6,3,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2015,2016,7,4,10,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2016,2016,2,11,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2016,2016,3,12,15,49.610195,-124.845947,4.75
"BCCWS","GIDE-1",2016,2017,4,1,8,49.610195,-124.845947,2.75
"BCCWS","GIDE-1",2016,2017,7,4,10,49.610195,-124.845947,3.75
"BCCWS","GIDE-1",2017,2017,1,10,9,49.610195,-124.845947,3
"BCCWS","GIDE-1",2017,2017,2,11,12,49.610195,-124.845947,2
"BCCWS","GIDE-1",2017,2017,3,12,10,49.610195,-124.845947,3.25
"BCCWS","GIDE-1",2017,2018,5,2,10,49.610195,-124.845947,3.25
"BCCWS","GIDE-1",2017,2018,6,3,9,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2017,2018,7,4,8,49.610195,-124.845947,2.75
"BCCWS","GIDE-1",2018,2019,4,1,13,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2018,2019,6,3,8,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2018,2019,7,4,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2019,2019,2,11,3,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2019,2019,3,12,8,49.610195,-124.845947,3.5
"BCCWS","GIDE-1",2019,2020,4,1,11,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2019,2020,5,2,8,49.610195,-124.845947,2.66667
"BCCWS","GIDE-1",2019,2020,6,3,8,49.610195,-124.845947,2.41667
"BCCWS","GIDE-1",2020,2020,1,10,12,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2020,2020,2,11,8,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2020,2020,3,12,14,49.610195,-124.845947,7
"BCCWS","GIDE-1",2020,2021,4,1,9,49.610195,-124.845947,2.75
"BCCWS","GIDE-1",2021,2021,2,11,16,49.610195,-124.845947,2.28333
"BCCWS","GIDE-1",2021,2021,3,12,12,49.610195,-124.845947,2.21667
"BCCWS","GIDE-1",2021,2022,5,2,13,49.610195,-124.845947,2.05
"BCCWS","GIDE-1",2021,2022,6,3,13,49.610195,-124.845947,2.33333
"BCCWS","GIDE-1",2021,2022,7,4,10,49.610195,-124.845947,2.23333
"BCCWS","GIDE-1",2022,2022,1,10,12,49.610195,-124.845947,2.35
"BCCWS","GIDE-1",2022,2022,2,11,11,49.610195,-124.845947,2.73333
"BCCWS","GIDE-1",2022,2022,3,12,12,49.610195,-124.845947,2.36667
"BCCWS","GIDE-1",2022,2023,4,1,7,49.610195,-124.845947,2.33333
"BCCWS","GIDE-1",2022,2023,5,2,12,49.610195,-124.845947,2.15
"BCCWS","GIDE-1",2022,2023,6,3,13,49.610195,-124.845947,2.21667
"BCCWS","GIDE-1",2022,2023,7,4,10,49.610195,-124.845947,1.76667
"BCCWS","GIDE-1",2023,2023,2,11,13,49.610195,-124.845947,2.76667
"BCCWS","GIDE-1",2023,2024,4,1,14,49.610195,-124.845947,3.25
"BCCWS","GIDE-1",2023,2024,5,2,12,49.610195,-124.845947,2.46667
"BCCWS","GIDE-1",2023,2024,7,4,14,49.610195,-124.845947,2.5
"BCCWS","GIDE-1",2024,2024,1,10,15,49.610195,-124.845947,2.73333
"BCCWS","GIDE-1",2024,2024,2,11,12,49.610195,-124.845947,2.43333
"BCCWS","GIDE-1",2024,2024,3,12,8,49.610195,-124.845947,3.33333
"BCCWS","GIDE-1",2024,2025,4,1,12,49.610195,-124.845947,2.68333
"BCCWS","GIDE-1",2024,2025,6,3,9,49.610195,-124.845947,2.3
"BCCWS","GIDE-1",2024,2025,7,4,14,49.610195,-124.845947,3.01667
"BCCWS","GIDE-10",2008,2008,1,10,12,49.543499,-124.751831,1.91667
"BCCWS","GIDE-10",2008,2008,2,11,9,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2008,2008,3,12,14,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2008,2009,5,2,8,49.543499,-124.751831,1.75
"BCCWS","GIDE-10",2008,2009,6,3,8,49.543499,-124.751831,2.33333
"BCCWS","GIDE-10",2008,2009,7,4,13,49.543499,-124.751831,1.96667
"BCCWS","GIDE-10",2009,2009,1,10,11,49.543499,-124.751831,1.91667
"BCCWS","GIDE-10",2009,2009,2,11,11,49.543499,-124.751831,2.75
"BCCWS","GIDE-10",2009,2009,3,12,13,49.543499,-124.751831,2.08333
"BCCWS","GIDE-10",2009,2010,4,1,12,49.543499,-124.751831,1.58333
"BCCWS","GIDE-10",2009,2010,5,2,15,49.543499,-124.751831,2.58333
"BCCWS","GIDE-10",2009,2010,6,3,15,49.543499,-124.751831,3.33333
"BCCWS","GIDE-10",2009,2010,7,4,11,49.543499,-124.751831,2.16667
"BCCWS","GIDE-10",2010,2010,1,10,10,49.543499,-124.751831,2.16667
"BCCWS","GIDE-10",2010,2010,2,11,10,49.543499,-124.751831,2.58333
"BCCWS","GIDE-10",2010,2010,3,12,10,49.543499,-124.751831,3
"BCCWS","GIDE-10",2010,2011,4,1,9,49.543499,-124.751831,2.41667
"BCCWS","GIDE-10",2010,2011,5,2,13,49.543499,-124.751831,2.08333
"BCCWS","GIDE-10",2010,2011,6,3,16,49.543499,-124.751831,1.83333
"BCCWS","GIDE-10",2010,2011,7,4,11,49.543499,-124.751831,3
"BCCWS","GIDE-10",2011,2011,1,10,9,49.543499,-124.751831,1.83333
"BCCWS","GIDE-10",2011,2011,2,11,13,49.543499,-124.751831,2.08333
"BCCWS","GIDE-10",2011,2011,3,12,11,49.543499,-124.751831,3
"BCCWS","GIDE-10",2011,2012,4,1,11,49.543499,-124.751831,2.16667
"BCCWS","GIDE-10",2011,2012,6,3,11,49.543499,-124.751831,2.83333
"BCCWS","GIDE-10",2011,2012,7,4,11,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2012,2012,1,10,14,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2012,2012,2,11,10,49.543499,-124.751831,2.33333
"BCCWS","GIDE-10",2012,2012,3,12,10,49.543499,-124.751831,3.08333
"BCCWS","GIDE-10",2012,2013,4,1,13,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2012,2013,5,2,9,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2012,2013,6,3,9,49.543499,-124.751831,2.41667
"BCCWS","GIDE-10",2012,2013,7,4,14,49.543499,-124.751831,3.08333
"BCCWS","GIDE-10",2013,2013,1,10,13,49.543499,-124.751831,2.33333
"BCCWS","GIDE-10",2013,2013,2,11,10,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2013,2013,3,12,8,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2013,2014,4,1,13,49.543499,-124.751831,2.16667
"BCCWS","GIDE-10",2013,2014,5,2,12,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2013,2014,6,3,9,49.543499,-124.751831,2.58333
"BCCWS","GIDE-10",2013,2014,7,4,13,49.543499,-124.751831,2.66667
"BCCWS","GIDE-10",2014,2014,1,10,8,49.543499,-124.751831,2.41667
"BCCWS","GIDE-10",2014,2014,2,11,10,49.543499,-124.751831,3.08333
"BCCWS","GIDE-10",2014,2014,3,12,13,49.543499,-124.751831,4.75
"BCCWS","GIDE-10",2014,2015,4,1,11,49.543499,-124.751831,2.66667
"BCCWS","GIDE-10",2014,2015,5,2,11,49.543499,-124.751831,2.91667
"BCCWS","GIDE-10",2014,2015,6,3,8,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2014,2015,7,4,14,49.543499,-124.751831,2.66667
"BCCWS","GIDE-10",2015,2015,1,10,13,49.543499,-124.751831,2.25
"BCCWS","GIDE-10",2015,2015,2,11,8,49.543499,-124.751831,2.08333
"BCCWS","GIDE-10",2015,2015,3,12,14,49.543499,-124.751831,2.41667
"BCCWS","GIDE-10",2015,2016,4,1,10,49.543499,-124.751831,2.5
"BCCWS","GIDE-10",2019,2020,4,1,25,49.543499,-124.751831,1.75
"BCCWS","GIDE-10",2019,2020,5,2,25,49.543499,-124.751831,1.25
"BCCWS","GIDE-10",2019,2020,6,3,21,49.543499,-124.751831,2.25
"BCCWS","GIDE-11",2008,2009,5,2,9,49.597866,-124.830772,3
"BCCWS","GIDE-11",2009,2010,5,2,14,49.597866,-124.830772,3
"BCCWS","GIDE-11",2009,2010,6,3,14,49.597866,-124.830772,0.5
"BCCWS","GIDE-11",2010,2010,2,11,14,49.597866,-124.830772,9.5
"BCCWS","GIDE-11",2010,2011,6,3,16,49.597866,-124.830772,0.333333
"BCCWS","GIDE-11",2011,2012,5,2,12,49.597866,-124.830772,0.5
"BCCWS","GIDE-11",2011,2012,6,3,11,49.597866,-124.830772,1.33333
"BCCWS","GIDE-11",2014,2015,6,3,8,49.597866,-124.830772,2.5
"BCCWS","GIDE-2",2020,2021,6,3,13,49.600697,-124.839561,2
"BCCWS","GIDE-2",2020,2021,7,4,11,49.600697,-124.839561,1.31667
"BCCWS","GIDE-2",2021,2021,1,10,11,49.600697,-124.839561,1.63333
"BCCWS","GIDE-2",2021,2022,4,1,9,49.600697,-124.839561,2.48333
"BCCWS","GIDE-3",2008,2008,1,10,12,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2008,2008,2,11,9,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2008,2009,4,1,11,49.558777,-124.848862,1
"BCCWS","GIDE-3",2008,2009,5,2,8,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2008,2009,7,4,12,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2009,2009,1,10,11,49.558777,-124.848862,1.25
"BCCWS","GIDE-3",2009,2009,2,11,8,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2009,2009,3,12,13,49.558777,-124.848862,1
"BCCWS","GIDE-3",2009,2010,4,1,11,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2009,2010,5,2,14,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2009,2010,6,3,15,49.558777,-124.848862,1
"BCCWS","GIDE-3",2010,2010,1,10,10,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2010,2010,2,11,14,49.558777,-124.848862,1
"BCCWS","GIDE-3",2010,2010,3,12,12,49.558777,-124.848862,1
"BCCWS","GIDE-3",2010,2011,4,1,10,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2010,2011,5,2,13,49.558777,-124.848862,1
"BCCWS","GIDE-3",2010,2011,6,3,13,49.558777,-124.848862,1
"BCCWS","GIDE-3",2011,2011,1,10,9,49.558777,-124.848862,1
"BCCWS","GIDE-3",2011,2011,2,11,13,49.558777,-124.848862,1
"BCCWS","GIDE-3",2011,2011,3,12,11,49.558777,-124.848862,1
"BCCWS","GIDE-3",2011,2012,4,1,8,49.558777,-124.848862,1
"BCCWS","GIDE-3",2011,2012,5,2,12,49.558777,-124.848862,1
"BCCWS","GIDE-3",2012,2012,2,11,12,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2012,2013,4,1,16,49.558777,-124.848862,1
"BCCWS","GIDE-3",2012,2013,7,4,14,49.558777,-124.848862,0.5
"BCCWS","GIDE-3",2013,2013,1,10,14,49.558777,-124.848862,2
"BCCWS","GIDE-3",2013,2013,2,11,12,49.558777,-124.848862,1
"BCCWS","GIDE-3",2013,2013,3,12,10,49.558777,-124.848862,0.666667
"BCCWS","GIDE-3",2013,2014,5,2,10,49.558777,-124.848862,1
"BCCWS","GIDE-3",2013,2014,6,3,9,49.558777,-124.848862,1
"BCCWS","GIDE-3",2013,2014,7,4,14,49.558777,-124.848862,1.33333
"BCCWS","GIDE-3",2014,2014,1,10,16,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2014,2014,2,11,9,49.558777,-124.848862,1
"BCCWS","GIDE-3",2014,2014,3,12,14,49.558777,-124.848862,1
"BCCWS","GIDE-3",2014,2015,7,4,15,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2015,2015,1,10,11,49.558777,-124.848862,1
"BCCWS","GIDE-3",2015,2015,2,11,9,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2015,2015,3,12,13,49.558777,-124.848862,1.16667
"BCCWS","GIDE-3",2015,2016,5,2,18,49.558777,-124.848862,1
"BCCWS","GIDE-3",2015,2016,7,4,10,49.558777,-124.848862,1
"BCCWS","GIDE-3",2016,2016,1,10,9,49.558777,-124.848862,1
"BCCWS","GIDE-3",2016,2016,2,11,13,49.558777,-124.848862,0.833333
"BCCWS","GIDE-3",2016,2017,4,1,8,49.558777,-124.848862,1
"BCCWS","GIDE-3",2016,2017,5,2,2,49.558777,-124.848862,1
"BCCWS","GIDE-3",2016,2017,6,3,12,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2016,2017,7,4,8,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2017,2017,1,10,8,49.558777,-124.848862,1
"BCCWS","GIDE-3",2017,2017,2,11,12,49.558777,-124.848862,1
"BCCWS","GIDE-3",2017,2018,5,2,11,49.558777,-124.848862,1.25
"BCCWS","GIDE-3",2018,2018,1,10,14,49.558777,-124.848862,1.25
"BCCWS","GIDE-3",2018,2018,2,11,11,49.558777,-124.848862,1.25
"BCCWS","GIDE-3",2018,2018,3,12,11,49.558777,-124.848862,1
"BCCWS","GIDE-3",2018,2019,4,1,13,49.558777,-124.848862,0.75
"BCCWS","GIDE-3",2019,2019,1,10,13,49.558777,-124.848862,1.25
"BCCWS","GIDE-3",2019,2019,2,11,10,49.558777,-124.848862,1.16667
"BCCWS","GIDE-3",2019,2020,5,2,9,49.558777,-124.848862,0.5
"BCCWS","GIDE-3",2019,2020,6,3,7,49.558777,-124.848862,0.75
"BCCWS","GIDE-7",2019,2020,4,1,26,49.479557,-124.723671,1
"BCCWS","GIDE-7",2019,2020,5,2,25,49.479557,-124.723671,1.25
"BCCWS","GIDE-7",2019,2020,6,3,21,49.479557,-124.723671,1.25
"BCCWS","GIGA-1",2010,2010,1,10,10,48.895752,-123.407608,1
"BCCWS","GIGA-1",2010,2010,2,11,14,48.895752,-123.407608,2
"BCCWS","GIGA-1",2010,2010,3,12,13,48.895752,-123.407608,2.25
"BCCWS","GIGA-1",2010,2011,4,1,9,48.895752,-123.407608,1.91667
"BCCWS","GIGA-1",2023,2023,2,11,12,48.895752,-123.407608,1.6
"BCCWS","GIGA-1",2023,2023,3,12,9,48.895752,-123.407608,1.23333
"BCCWS","GIGA-1",2023,2024,4,1,14,48.895752,-123.407608,1.81667
"BCCWS","GIGA-1",2023,2024,5,2,11,48.895752,-123.407608,1.61667
"BCCWS","GIGA-1",2023,2024,6,3,10,48.895752,-123.407608,1.01667
"BCCWS","GIGA-1",2023,2024,7,4,13,48.895752,-123.407608,1.58333
"BCCWS","GIGA-1",2024,2024,1,10,12,48.895752,-123.407608,2.06667
"BCCWS","GIGA-2",2010,2010,1,10,10,48.861732,-123.339844,0.75
"BCCWS","GIGA-2",2010,2010,2,11,14,48.861732,-123.339844,0.75
"BCCWS","GIGA-2",2010,2010,3,12,13,48.861732,-123.339844,0.5
"BCCWS","GIGA-2",2010,2011,4,1,9,48.861732,-123.339844,0.583333
"BCCWS","GIGB-1",2008,2008,1,10,12,49.151684,-123.695839,1
"BCCWS","GIGB-1",2008,2008,2,11,9,49.151684,-123.695839,0.783334
"BCCWS","GIGB-1",2008,2008,3,12,14,49.151684,-123.695839,0.716666
"BCCWS","GIGB-1",2008,2009,4,1,11,49.151684,-123.695839,1
"BCCWS","GIGB-1",2008,2009,5,2,8,49.151684,-123.695839,0.75
"BCCWS","GIGB-1",2008,2009,6,3,8,49.151684,-123.695839,0.916667
"BCCWS","GIGB-1",2008,2009,7,4,12,49.151684,-123.695839,0.583333
"BCCWS","GIGB-1",2009,2009,1,10,11,49.151684,-123.695839,0.8
"BCCWS","GIGB-1",2009,2009,2,11,8,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2009,2009,3,12,12,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2009,2010,7,4,11,49.151684,-123.695839,0.416667
"BCCWS","GIGB-1",2010,2010,1,10,17,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2010,2010,2,11,13,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2010,2010,3,12,13,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2010,2011,4,1,9,49.151684,-123.695839,0.333333
"BCCWS","GIGB-1",2010,2011,5,2,13,49.151684,-123.695839,0.366667
"BCCWS","GIGB-1",2011,2011,1,10,11,49.151684,-123.695839,0.333334
"BCCWS","GIGB-1",2011,2011,2,11,13,49.151684,-123.695839,0.366668
"BCCWS","GIGB-1",2011,2012,4,1,11,49.151684,-123.695839,0.383333
"BCCWS","GIGB-1",2011,2012,6,3,11,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2012,2012,3,12,10,49.151684,-123.695839,0.516666
"BCCWS","GIGB-1",2012,2013,4,1,13,49.151684,-123.695839,0.5
"BCCWS","GIGB-1",2012,2013,5,2,10,49.151684,-123.695839,0.4
"BCCWS","GIGB-1",2012,2013,7,4,14,49.151684,-123.695839,0.45
"BCCWS","GIGB-2",2008,2009,7,4,12,49.137474,-123.788544,0.416667
"BCCWS","GIGB-2",2009,2009,1,10,11,49.137474,-123.788544,0.333333
"BCCWS","GIGB-2",2009,2009,2,11,8,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2009,2009,3,12,12,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2009,2010,7,4,11,49.137474,-123.788544,0.333334
"BCCWS","GIGB-2",2010,2010,3,12,12,49.137474,-123.788544,0.333333
"BCCWS","GIGB-2",2010,2011,5,2,13,49.137474,-123.788544,0.316667
"BCCWS","GIGB-2",2012,2012,3,12,10,49.137474,-123.788544,0.316667
"BCCWS","GIGB-2",2012,2013,5,2,10,49.137474,-123.788544,0.316667
"BCCWS","GIGB-2",2018,2019,7,4,14,49.137474,-123.788544,0.75
"BCCWS","GIGB-2",2019,2020,4,1,12,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2019,2020,5,2,9,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2019,2020,7,4,12,49.137474,-123.788544,0.416667
"BCCWS","GIGB-2",2020,2020,1,10,11,49.137474,-123.788544,0.583333
"BCCWS","GIGB-2",2020,2020,2,11,8,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2020,2021,4,1,10,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2020,2021,6,3,14,49.137474,-123.788544,1
"BCCWS","GIGB-2",2020,2021,7,4,11,49.137474,-123.788544,0.916667
"BCCWS","GIGB-2",2021,2021,1,10,10,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2021,2021,3,12,12,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2021,2022,5,2,13,49.137474,-123.788544,0.333333
"BCCWS","GIGB-2",2023,2023,2,11,12,49.137474,-123.788544,0.5
"BCCWS","GIGB-2",2023,2023,3,12,10,49.137474,-123.788544,0.333333
"BCCWS","GIGB-2",2023,2024,6,3,10,49.137474,-123.788544,0.333333
"BCCWS","GIGB-2",2024,2025,5,2,9,49.137474,-123.788544,0.333333
"BCCWS","GIGB-3",2017,2017,1,10,8,49.206257,-123.825882,2.66667
"BCCWS","GIGB-3",2017,2017,2,11,12,49.206257,-123.825882,2.75
"BCCWS","GIGB-3",2017,2017,3,12,10,49.206257,-123.825882,2.5
"BCCWS","GIGB-3",2017,2018,4,1,9,49.206257,-123.825882,1.5
"BCCWS","GIGB-3",2017,2018,5,2,11,49.206257,-123.825882,2.66667
"BCCWS","GIGB-3",2017,2018,6,3,11,49.206257,-123.825882,2.5
"BCCWS","GIGB-3",2017,2018,7,4,8,49.206257,-123.825882,2.5
"BCCWS","GIGB-3",2018,2018,1,10,14,49.206257,-123.825882,2.33333
"BCCWS","GIGB-3",2018,2018,2,11,11,49.206257,-123.825882,1.75
"BCCWS","GIGB-3",2018,2018,3,12,9,49.206257,-123.825882,2
"BCCWS","GIGB-3",2018,2019,4,1,13,49.206257,-123.825882,2.28333
"BCCWS","GIGB-3",2018,2019,5,2,11,49.206257,-123.825882,1.5
"BCCWS","GIGB-3",2018,2019,6,3,9,49.206257,-123.825882,1.5
"BCCWS","GIGB-3",2019,2019,1,10,14,49.206257,-123.825882,1.08333
"BCCWS","GIGB-3",2019,2019,3,12,8,49.206257,-123.825882,1.08333
"BCCWS","GIGB-3",2019,2020,5,2,11,49.206257,-123.825882,1.75
"BCCWS","GIGB-3",2019,2020,6,3,8,49.206257,-123.825882,2
"BCCWS","GIGB-3",2020,2020,1,10,10,49.206257,-123.825882,2
"BCCWS","GIGB-3",2020,2020,2,11,8,49.206257,-123.825882,2.25
"BCCWS","GIGB-3",2020,2020,3,12,13,49.206257,-123.825882,1.58333
"BCCWS","GIGB-3",2020,2021,4,1,10,49.206257,-123.825882,2.75
"BCCWS","GIGB-3",2020,2021,5,2,14,49.206257,-123.825882,1.16667
"BCCWS","GIGB-3",2020,2021,6,3,14,49.206257,-123.825882,1.5
"BCCWS","GIGB-3",2020,2021,7,4,11,49.206257,-123.825882,3
"BCCWS","GIGB-3",2021,2021,1,10,10,49.206257,-123.825882,3
"BCCWS","GIGB-3",2021,2021,2,11,14,49.206257,-123.825882,1.45
"BCCWS","GIGB-3",2021,2021,3,12,12,49.206257,-123.825882,3
"BCCWS","GIGB-3",2021,2022,4,1,9,49.206257,-123.825882,2
"BCCWS","GIGB-3",2021,2022,5,2,13,49.206257,-123.825882,2.35
"BCCWS","GIGB-3",2021,2022,6,3,11,49.206257,-123.825882,2.2
"BCCWS","GIGB-3",2021,2022,7,4,10,49.206257,-123.825882,1.2
"BCCWS","GIGB-3",2022,2022,1,10,9,49.206257,-123.825882,1.1
"BCCWS","GIGB-3",2022,2022,2,11,13,49.206257,-123.825882,2.73333
"BCCWS","GIGB-3",2022,2022,3,12,11,49.206257,-123.825882,2
"BCCWS","GIGB-3",2022,2023,4,1,8,49.206257,-123.825882,1.33333
"BCCWS","GIGB-3",2022,2023,5,2,12,49.206257,-123.825882,1.91667
"BCCWS","GIGB-3",2022,2023,6,3,12,49.206257,-123.825882,1.66667
"BCCWS","GIGB-3",2022,2023,7,4,9,49.206257,-123.825882,2
"BCCWS","GIGB-3",2023,2023,1,10,8,49.206257,-123.825882,1.38333
"BCCWS","GIGB-3",2023,2023,2,11,12,49.206257,-123.825882,1.23333
"BCCWS","GIGB-3",2023,2023,3,12,10,49.206257,-123.825882,1.01667
"BCCWS","GIGB-3",2023,2024,4,1,14,49.206257,-123.825882,1.7
"BCCWS","GIGB-3",2023,2024,5,2,11,49.206257,-123.825882,2.3
"BCCWS","GIGB-3",2023,2024,6,3,10,49.206257,-123.825882,2.58333
"BCCWS","GIGB-3",2023,2024,7,4,14,49.206257,-123.825882,1.83333
"BCCWS","GIGB-3",2024,2024,1,10,13,49.206257,-123.825882,1.5
"BCCWS","GIGB-3",2024,2024,2,11,10,49.206257,-123.825882,1.58333
"BCCWS","GIGB-3",2024,2024,3,12,8,49.206257,-123.825882,1.6
"BCCWS","GIGB-3",2024,2025,4,1,12,49.206257,-123.825882,1.83333
"BCCWS","GIGB-3",2024,2025,5,2,10,49.206257,-123.825882,2
"BCCWS","GIGB-3",2024,2025,6,3,9,49.206257,-123.825882,2.06667
"BCCWS","GIGB-3",2024,2025,7,4,13,49.206257,-123.825882,1.6
"BCCWS","GIGB-4",2017,2017,1,10,10,49.193161,-123.866173,2.5
"BCCWS","GIGB-4",2017,2017,2,11,11,49.193161,-123.866173,4
"BCCWS","GIGB-4",2017,2017,3,12,11,49.193161,-123.866173,3
"BCCWS","GIGB-4",2017,2018,4,1,13,49.193161,-123.866173,2.5
"BCCWS","GIGB-4",2017,2018,5,2,11,49.193161,-123.866173,2.83333
"BCCWS","GIGB-4",2017,2018,6,3,11,49.193161,-123.866173,2.5
"BCCWS","GIGB-4",2017,2018,7,4,8,49.193161,-123.866173,2.5
"BCCWS","GIGB-4",2018,2018,1,10,14,49.193161,-123.866173,3
"BCCWS","GIGB-4",2018,2018,2,11,11,49.193161,-123.866173,3
"BCCWS","GIGB-4",2018,2019,4,1,13,49.193161,-123.866173,1
"BCCWS","GIGB-4",2018,2019,5,2,10,49.193161,-123.866173,1.25
"BCCWS","GIGB-4",2018,2019,6,3,10,49.193161,-123.866173,2.5
