results_code,version,area_code,season,period,species_code,species_id,years,year_start,year_end,trnd,lower_ci,upper_ci,index_type,stderr,model_type,model_fit,percent_change,percent_change_low,percent_change_high,prob_decrease_0,prob_decrease_25,prob_decrease_30,prob_decrease_50,prob_increase_0,prob_increase_33,prob_increase_100,suitability,precision_num,precision_cat,coverage_num,coverage_cat,sample_size,sample_size_units,prob_LD,prob_MD,prob_LC,prob_MI,prob_LI
BCCWS/PSSS,2025,3,winter,all years,AMWI,420,2008-2024,2008,2024,0.776944027196873,-0.533085207490281,2.02844019207846,Slope Trend,,ALPHA SPATIAL SPDE,,13.8460802095331,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,30,winter,all years,AMWI,420,2008-2024,2008,2024,0.088259297112141,-1.18300461494814,1.33118686797274,Slope Trend,,ALPHA SPATIAL SPDE,,2.02053711845562,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,31,winter,all years,AMWI,420,2008-2024,2008,2024,0.349437432366091,-0.868286269413771,1.6466117695342,Slope Trend,,ALPHA SPATIAL SPDE,,6.38008187320722,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,34,winter,all years,AMWI,420,2008-2024,2008,2024,-0.228346971774902,-1.68080771515792,1.07297617102049,Slope Trend,,ALPHA SPATIAL SPDE,,-2.59161803899826,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,35,winter,all years,AMWI,420,2008-2024,2008,2024,-0.960688766970622,-2.21862953974506,0.269212636001707,Slope Trend,,ALPHA SPATIAL SPDE,,-13.8055686784681,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,36,winter,all years,AMWI,420,2008-2024,2008,2024,-2.36792989834916,-3.60799669790783,-1.15550405957709,Slope Trend,,ALPHA SPATIAL SPDE,,-31.4452753088157,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,37,winter,all years,AMWI,420,2008-2024,2008,2024,-2.90884777652233,-4.14204414609512,-1.70313922656189,Slope Trend,,ALPHA SPATIAL SPDE,,-37.2762655203788,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,38,winter,all years,AMWI,420,2008-2024,2008,2024,-0.863163761945077,-2.12234324163961,0.367948737298148,Slope Trend,,ALPHA SPATIAL SPDE,,-12.4374686272074,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,39,winter,all years,AMWI,420,2008-2024,2008,2024,-1.91728729398939,-3.16307789855959,-0.699265233227887,Slope Trend,,ALPHA SPATIAL SPDE,,-26.203302559061,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,4,winter,all years,AMWI,420,2008-2024,2008,2024,1.08984225217391,-0.194143194606301,2.34520779606045,Slope Trend,,ALPHA SPATIAL SPDE,,19.6403645956539,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,40,winter,all years,AMWI,420,2008-2024,2008,2024,0.358680308004428,-1.36089710052531,1.82155908469653,Slope Trend,,ALPHA SPATIAL SPDE,,6.22508722347953,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,42,winter,all years,AMWI,420,2008-2024,2008,2024,-4.89824076065362,-6.62718799775931,-3.30536593960706,Slope Trend,,ALPHA SPATIAL SPDE,,-50.0814821860567,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,44,winter,all years,AMWI,420,2008-2024,2008,2024,-1.95145950861599,-3.74241409014634,-0.247093232523985,Slope Trend,,ALPHA SPATIAL SPDE,,-25.0005698218428,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,45,winter,all years,AMWI,420,2008-2024,2008,2024,-5.01153297087917,-6.42833396362053,-3.69837623259923,Slope Trend,,ALPHA SPATIAL SPDE,,-53.460546569178,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,47,winter,all years,AMWI,420,2008-2024,2008,2024,-1.64011664346669,-2.88942771135563,-0.418652590149941,Slope Trend,,ALPHA SPATIAL SPDE,,-22.7949858158732,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,49,winter,all years,AMWI,420,2008-2024,2008,2024,-1.01205340881191,-2.26934177723855,0.217210131838105,Slope Trend,,ALPHA SPATIAL SPDE,,-14.5180399633914,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,5,winter,all years,AMWI,420,2008-2024,2008,2024,-4.09286778056606,-5.31102540420732,-2.90186276444478,Slope Trend,,ALPHA SPATIAL SPDE,,-48.4567371266648,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,50,winter,all years,AMWI,420,2008-2024,2008,2024,-1.14507823419052,-2.40067699725186,0.0825333622231416,Slope Trend,,ALPHA SPATIAL SPDE,,-16.3376278689106,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,52,winter,all years,AMWI,420,2008-2024,2008,2024,-0.395224237051681,-1.65468317393987,1.256870801145,Slope Trend,,ALPHA SPATIAL SPDE,,-4.87972105150769,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,54,winter,all years,AMWI,420,2008-2024,2008,2024,-1.56270692685815,-3.32234614017879,0.109392468263837,Slope Trend,,ALPHA SPATIAL SPDE,,-20.4331300243651,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,55,winter,all years,AMWI,420,2008-2024,2008,2024,-0.524164385583101,-1.78764964176337,0.711157914833036,Slope Trend,,ALPHA SPATIAL SPDE,,-7.5218864327878,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,57,winter,all years,AMWI,420,2008-2024,2008,2024,-2.22481309075115,-3.46669767827004,-1.01060998232462,Slope Trend,,ALPHA SPATIAL SPDE,,-29.8195895744686,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,58,winter,all years,AMWI,420,2008-2024,2008,2024,-2.12942834440791,-3.37252445450335,-0.91404071811781,Slope Trend,,ALPHA SPATIAL SPDE,,-28.7161042183012,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,6,winter,all years,AMWI,420,2008-2024,2008,2024,-5.41040548512307,-6.80834905845186,-4.084370296445,Slope Trend,,ALPHA SPATIAL SPDE,,-58.6035188154615,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,60,winter,all years,AMWI,420,2008-2024,2008,2024,-0.575554462263952,-2.10887881674113,0.753834266009345,Slope Trend,,ALPHA SPATIAL SPDE,,-7.69692709655638,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,62,winter,all years,AMWI,420,2008-2024,2008,2024,-4.211285543965,-5.61038562424096,-2.8769466171509,Slope Trend,,ALPHA SPATIAL SPDE,,-47.2221015700367,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,64,winter,all years,AMWI,420,2008-2024,2008,2024,-3.20617366214224,-4.79243623308768,-1.74579053482289,Slope Trend,,ALPHA SPATIAL SPDE,,-38.2187128116054,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,69,winter,all years,AMWI,420,2008-2024,2008,2024,2.56399114078863,0.960492112677939,4.28774389208775,Slope Trend,,ALPHA SPATIAL SPDE,,39.7602961874576,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,7,winter,all years,AMWI,420,2008-2024,2008,2024,-0.387204418605941,-1.65242926207286,0.849818693876039,Slope Trend,,ALPHA SPATIAL SPDE,,-5.4635080108728,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,70,winter,all years,AMWI,420,2008-2024,2008,2024,0.711408144298673,-0.732647265194645,2.13564302545326,Slope Trend,,ALPHA SPATIAL SPDE,,11.9330644137944,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,71,winter,all years,AMWI,420,2008-2024,2008,2024,-7.48762527518616,-8.93167331079777,-6.04411629538653,Slope Trend,,ALPHA SPATIAL SPDE,,-66.1049810398258,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,73,winter,all years,AMWI,420,2008-2024,2008,2024,-4.58453404713238,-6.3068611610362,-2.71090724941476,Slope Trend,,ALPHA SPATIAL SPDE,,-50.076892822381,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,75,winter,all years,AMWI,420,2008-2024,2008,2024,-2.36926808965558,-4.01626739011216,-0.708160747647677,Slope Trend,,ALPHA SPATIAL SPDE,,-27.8530093593736,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,76,winter,all years,AMWI,420,2008-2024,2008,2024,-5.61962215219303,-7.09282830041712,-4.14696594435655,Slope Trend,,ALPHA SPATIAL SPDE,,-55.1582826203627,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,78,winter,all years,AMWI,420,2008-2024,2008,2024,-4.30543547724351,-6.23238469013271,-2.11571665158386,Slope Trend,,ALPHA SPATIAL SPDE,,-40.4598462143571,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,8,winter,all years,AMWI,420,2008-2024,2008,2024,-1.44362852477146,-2.70184819640857,-0.213125418410922,Slope Trend,,ALPHA SPATIAL SPDE,,-20.2881626607612,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,80,winter,all years,AMWI,420,2008-2024,2008,2024,-4.53979929657574,-6.36195811453745,-2.81641672057413,Slope Trend,,ALPHA SPATIAL SPDE,,-44.9160302268769,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,81,winter,all years,AMWI,420,2008-2024,2008,2024,-4.73400952869658,-6.49094272227292,-2.86123172716871,Slope Trend,,ALPHA SPATIAL SPDE,,-43.6791828716198,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,82,winter,all years,AMWI,420,2008-2024,2008,2024,-4.6359088242161,-6.39465122990646,-2.7612025189194,Slope Trend,,ALPHA SPATIAL SPDE,,-42.9792673855869,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,83,winter,all years,AMWI,420,2008-2024,2008,2024,-4.87061833438678,-7.06179418643037,-2.75375899694429,Slope Trend,,ALPHA SPATIAL SPDE,,-41.8307720723576,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,84,winter,all years,AMWI,420,2008-2024,2008,2024,-5.25482727306405,-7.43715339504708,-3.14651751583671,Slope Trend,,ALPHA SPATIAL SPDE,,-44.3634876951309,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,85,winter,all years,AMWI,420,2008-2024,2008,2024,-4.69581269997946,-6.8910149619314,-2.57506351343931,Slope Trend,,ALPHA SPATIAL SPDE,,-40.6441276601849,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,86,winter,all years,AMWI,420,2008-2024,2008,2024,-9.79296324460509,-11.8707595801013,-7.78563801327016,Slope Trend,,ALPHA SPATIAL SPDE,,-67.5752623259284,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,87,winter,all years,AMWI,420,2008-2024,2008,2024,-9.52973977234408,-11.6135991023222,-7.51655718069278,Slope Trend,,ALPHA SPATIAL SPDE,,-66.5191772568984,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,9,winter,all years,AMWI,420,2008-2024,2008,2024,-0.666494843225437,-1.87189037612818,0.617546971131217,Slope Trend,,ALPHA SPATIAL SPDE,,-9.60312539639064,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,90,winter,all years,AMWI,420,2008-2024,2008,2024,-4.53294425227623,-6.73189796728525,-2.40857084797856,Slope Trend,,ALPHA SPATIAL SPDE,,-39.5187574465222,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,93,winter,all years,AMWI,420,2008-2024,2008,2024,-4.91326938611779,-7.13403789407795,-2.94628441613205,Slope Trend,,ALPHA SPATIAL SPDE,,-42.060407545377,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,94,winter,all years,AMWI,420,2008-2024,2008,2024,-6.38209875748449,-8.53845971484528,-4.29887352331247,Slope Trend,,ALPHA SPATIAL SPDE,,-51.2269634513791,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,95,winter,all years,AMWI,420,2008-2024,2008,2024,-2.23641059759454,-4.48826184015432,-0.0609337526400887,Slope Trend,,ALPHA SPATIAL SPDE,,-21.4438105273808,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,99,winter,all years,AMWI,420,2008-2024,2008,2024,-2.80521385022649,-5.04396348390469,-0.642394256432728,Slope Trend,,ALPHA SPATIAL SPDE,,-26.32764697362,,,,,,,,,,,,Medium,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIDE-1,winter,all years,AMWI,420,2008-2024,2008,2024,0.89832507358674,-0.38322783136101,2.15131229674685,Slope Trend,,ALPHA SPATIAL SPDE,,16.0648561689214,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIDE-3,winter,all years,AMWI,420,2008-2024,2008,2024,1.69076680781175,0.220123881025507,3.533776368674,Slope Trend,,ALPHA SPATIAL SPDE,,20.7850699423602,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-1,winter,all years,AMWI,420,2008-2024,2008,2024,-2.12868137865618,-3.25169785878016,-0.950226289017001,Slope Trend,,ALPHA SPATIAL SPDE,,-28.7077182758823,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-10,winter,all years,AMWI,420,2008-2024,2008,2024,-2.69397678629655,-3.90803854805739,-1.44978495822105,Slope Trend,,ALPHA SPATIAL SPDE,,-35.0301977075266,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-12,winter,all years,AMWI,420,2008-2024,2008,2024,-4.35875360699956,-5.57353410071322,-3.17105044492885,Slope Trend,,ALPHA SPATIAL SPDE,,-50.6961241184793,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-13,winter,all years,AMWI,420,2008-2024,2008,2024,-1.7111402748574,-2.95954924113996,-0.490558215395448,Slope Trend,,ALPHA SPATIAL SPDE,,-23.6821417334505,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-14,winter,all years,AMWI,420,2008-2024,2008,2024,-2.0298748523571,-3.27423543405643,-0.813250939404472,Slope Trend,,ALPHA SPATIAL SPDE,,-27.5470569113244,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-16,winter,all years,AMWI,420,2008-2024,2008,2024,-2.7911581840399,-4.02584937960726,-1.58398812760181,Slope Trend,,ALPHA SPATIAL SPDE,,-36.0486484493148,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-17,winter,all years,AMWI,420,2008-2024,2008,2024,-1.28777033066449,-2.50853514124811,0.237012200194686,Slope Trend,,ALPHA SPATIAL SPDE,,-16.1626000576204,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-19,winter,all years,AMWI,420,2008-2024,2008,2024,-1.61677243254185,-2.74566277020557,-0.432153517672987,Slope Trend,,ALPHA SPATIAL SPDE,,-22.5016357342519,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-2,winter,all years,AMWI,420,2008-2024,2008,2024,-6.02841319277494,-7.22198662392475,-4.86144439003555,Slope Trend,,ALPHA SPATIAL SPDE,,-62.8034729079592,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-21,winter,all years,AMWI,420,2008-2024,2008,2024,-1.38354222732408,-2.63611215692457,-0.158891951986471,Slope Trend,,ALPHA SPATIAL SPDE,,-19.5089098100804,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-22,winter,all years,AMWI,420,2008-2024,2008,2024,-1.15885618453841,-2.41427994794261,0.0685843129424079,Slope Trend,,ALPHA SPATIAL SPDE,,-16.5240006811825,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-3,winter,all years,AMWI,420,2008-2024,2008,2024,-8.38069873404561,-9.54439477757294,-7.24294135504676,Slope Trend,,ALPHA SPATIAL SPDE,,-75.2058610155836,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-4,winter,all years,AMWI,420,2008-2024,2008,2024,0.862606288374551,-0.418492936961404,2.11514994439452,Slope Trend,,ALPHA SPATIAL SPDE,,15.409193071793,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-5,winter,all years,AMWI,420,2008-2024,2008,2024,0.0872591828621988,-1.18399202631803,1.33017433398862,Slope Trend,,ALPHA SPATIAL SPDE,,2.00422758565054,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-6,winter,all years,AMWI,420,2008-2024,2008,2024,-7.18312401485973,-8.36203096856962,-6.03049477529408,Slope Trend,,ALPHA SPATIAL SPDE,,-69.4797155399854,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-7,winter,all years,AMWI,420,2008-2024,2008,2024,2.13720484867011,0.839916400307915,3.4055768716084,Slope Trend,,ALPHA SPATIAL SPDE,,41.0915233327232,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-8,winter,all years,AMWI,420,2008-2024,2008,2024,0.589096618456538,-0.740644860704062,1.79663582596501,Slope Trend,,ALPHA SPATIAL SPDE,,9.79248937576067,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GIHO-9,winter,all years,AMWI,420,2008-2024,2008,2024,0.543215872286639,-0.733826638378875,1.79179323738686,Slope Trend,,ALPHA SPATIAL SPDE,,9.69877518522404,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
BCCWS/PSSS,2025,GILA-3,winter,all years,AMWI,420,2008-2024,2008,2024,-8.99797130305833,-10.3619178263764,-7.33694323182028,Slope Trend,,ALPHA SPATIAL SPDE,,-64.3816828694629,,,,,,,,,,,,High,,,211,Number of Sites,,,,,
